,Napa,SF,Marin,Sonoma,Contra Costa,Alameda,San Mateo,Santa Clara,Solano
0,94503.0,94102.0,94901.0,94922.0,94505.0,94501.0,94002.0,95050.0,94510.0
1,94508.0,94103.0,94903.0,94923.0,94506.0,94502.0,94005.0,95051.0,94512.0
2,94515.0,94104.0,94904.0,94926.0,94507.0,94536.0,94010.0,95052.0,94533.0
3,94558.0,94105.0,94912.0,94927.0,94509.0,94537.0,94011.0,95053.0,94534.0
4,94559.0,94107.0,94913.0,94928.0,94511.0,94538.0,94014.0,95054.0,94535.0
5,94562.0,94108.0,94914.0,94931.0,94513.0,94539.0,94015.0,95055.0,94571.0
6,94567.0,94109.0,94915.0,94951.0,94514.0,94540.0,94016.0,95056.0,94585.0
7,94573.0,94110.0,94920.0,94952.0,94516.0,94541.0,94017.0,,94589.0
8,94574.0,94111.0,94924.0,94953.0,94517.0,94542.0,94018.0,,94590.0
9,94576.0,94112.0,94925.0,94954.0,94518.0,94543.0,94019.0,,94591.0
10,94581.0,94114.0,94929.0,94955.0,94519.0,94544.0,94020.0,,94592.0
11,94599.0,94115.0,94930.0,94972.0,94520.0,94545.0,94021.0,,95620.0
12,,94116.0,94933.0,94975.0,94521.0,94546.0,94025.0,,95625.0
13,,94117.0,94937.0,94999.0,94522.0,94550.0,94026.0,,95687.0
14,,94118.0,94938.0,95401.0,94523.0,94551.0,94027.0,,95688.0
15,,94119.0,94939.0,95402.0,94524.0,94552.0,94028.0,,95696.0
16,,94120.0,94940.0,95403.0,94525.0,94555.0,94030.0,,
17,,94121.0,94941.0,95404.0,94526.0,94557.0,94037.0,,
18,,94122.0,94942.0,95405.0,94527.0,94560.0,94038.0,,
19,,94123.0,94945.0,95406.0,94528.0,94566.0,94044.0,,
20,,94124.0,94946.0,95407.0,94529.0,94568.0,94060.0,,
21,,94125.0,94947.0,95409.0,94530.0,94577.0,94061.0,,
22,,94126.0,94948.0,95412.0,94531.0,94578.0,94062.0,,
23,,94127.0,94949.0,95416.0,94547.0,94579.0,94063.0,,
24,,94128.0,94950.0,95419.0,94548.0,94580.0,94064.0,,
25,,94129.0,94956.0,95421.0,94549.0,94586.0,94065.0,,
26,,94130.0,94957.0,95425.0,94553.0,94587.0,94066.0,,
27,,94131.0,94960.0,95430.0,94556.0,94588.0,94070.0,,
28,,94132.0,94963.0,95431.0,94561.0,94601.0,94074.0,,
29,,94133.0,94964.0,95433.0,94563.0,94602.0,94080.0,,
30,,94134.0,94965.0,95436.0,94564.0,94603.0,94083.0,,
31,,94137.0,94966.0,95439.0,94565.0,94604.0,94128.0,,
32,,94139.0,94970.0,95441.0,94569.0,94605.0,94401.0,,
33,,94140.0,94971.0,95442.0,94570.0,94606.0,94402.0,,
34,,94141.0,94973.0,95444.0,94572.0,94607.0,94403.0,,
35,,94142.0,94974.0,95446.0,94575.0,94608.0,94404.0,,
36,,94143.0,94976.0,95448.0,94582.0,94609.0,94497.0,,
37,,94144.0,94977.0,95450.0,94583.0,94610.0,,,
38,,94145.0,94978.0,95452.0,94595.0,94611.0,,,
39,,94146.0,94979.0,95462.0,94596.0,94612.0,,,
40,,94147.0,94998.0,95465.0,94597.0,94613.0,,,
41,,94151.0,,95471.0,94598.0,94614.0,,,
42,,94158.0,,95472.0,94801.0,94615.0,,,
43,,94159.0,,95473.0,94802.0,94617.0,,,
44,,94160.0,,95476.0,94803.0,94618.0,,,
45,,94161.0,,95480.0,94804.0,94619.0,,,
46,,94163.0,,95486.0,94805.0,94620.0,,,
47,,94164.0,,95487.0,94806.0,94621.0,,,
48,,94172.0,,95492.0,94807.0,94622.0,,,
49,,94177.0,,95497.0,94808.0,94623.0,,,
50,,94188.0,,,94820.0,94624.0,,,
51,,,,,94850.0,94649.0,,,
52,,,,,,94659.0,,,
53,,,,,,94660.0,,,
54,,,,,,94661.0,,,
55,,,,,,94662.0,,,
56,,,,,,94666.0,,,
57,,,,,,94701.0,,,
58,,,,,,94702.0,,,
59,,,,,,94703.0,,,
60,,,,,,94704.0,,,
61,,,,,,94705.0,,,
62,,,,,,94706.0,,,
63,,,,,,94707.0,,,
64,,,,,,94708.0,,,
65,,,,,,94709.0,,,
66,,,,,,94710.0,,,
67,,,,,,94712.0,,,
68,,,,,,94720.0,,,
